"","Community.Area.Number","Community.Area","num_schools"
"1","1","Rogers Park",7
"2","10","Norwood Park",8
"3","11","Jefferson Park",2
"4","12","Forest Glen",3
"5","13","North Park",6
"6","14","Albany Park",9
"7","15","Portage Park",7
"8","16","Irving Park",11
"9","17","Dunning",6
"10","18","Montclare",1
"11","19","Belmont Cragin",15
"12","2","West Ridge",10
"13","20","Hermosa",5
"14","21","Avondale",8
"15","22","Logan Square",12
"16","23","Humboldt Park",18
"17","24","West Town",24
"18","25","Austin",26
"19","26","West Garfield Park",6
"20","27","East Garfield Park",14
"21","28","Near West Side",27
"22","29","North Lawndale",24
"23","3","Uptown",8
"24","30","South Lawndale",24
"25","31","Lower West Side",16
"26","32","Loop",3
"27","33","Near South Side",4
"28","34","Armour Square",3
"29","35","Douglas",13
"30","36","Oakland",2
"31","37","Fuller Park",2
"32","38","Grand Boulevard",11
"33","39","Kenwood",8
"34","4","Lincoln Square",5
"35","40","Washington Park",6
"36","41","Hyde Park",4
"37","42","Woodlawn",7
"38","43","South Shore",11
"39","44","Chatham",10
"40","45","Avalon Park",5
"41","46","South Chicago",12
"42","47","Burnside",1
"43","48","Calumet Heights",5
"44","49","Roseland",12
"45","5","North Center",7
"46","50","Pullman",7
"47","51","South Deering",3
"48","52","East Side",5
"49","53","West Pullman",9
"50","54","Riverdale",6
"51","55","Hegewisch",2
"52","56","Garfield Ridge",6
"53","57","Archer Heights",5
"54","58","Brighton Park",12
"55","59","Mckinley Park",5
"56","6","Lake View",10
"57","60","Bridgeport",5
"58","61","New City",16
"59","62","West Elsdon",3
"60","63","Gage Park",13
"61","64","Clearing",4
"62","65","West Lawn",4
"63","66","Chicago Lawn",9
"64","67","West Englewood",13
"65","68","Englewood",18
"66","69","Greater Grand Crossing",11
"67","7","Lincoln Park",7
"68","70","Ashburn",11
"69","71","Auburn Gresham",17
"70","72","Beverly",3
"71","73","Washington Heights",12
"72","74","Mount Greenwood",4
"73","75","Morgan Park",6
"74","76","Ohare",1
"75","77","Edgewater",6
"76","8","Near North Side",8
"77","9","Edison Park",3
