"","COMMUNITY.AREA","num_stores","COMMUNITY.AREA.NAME"
"1","1",13,"ROGERS PARK"
"2","10",4,"NORWOOD PARK"
"3","11",3,"JEFFERSON PARK"
"4","12",2,"FOREST GLEN"
"5","13",2,"NORTH PARK"
"6","14",12,"ALBANY PARK"
"7","15",10,"PORTAGE PARK"
"8","16",7,"IRVING PARK"
"9","17",9,"DUNNING"
"10","18",1,"MONTCLARE"
"11","19",22,"BELMONT CRAGIN"
"12","2",18,"WEST RIDGE"
"13","20",7,"HERMOSA"
"14","21",6,"AVONDALE"
"15","22",15,"LOGAN SQUARE"
"16","23",16,"HUMBOLDT PARK"
"17","24",14,"WEST TOWN"
"18","25",14,"AUSTIN"
"19","26",7,"WEST GARFIELD PARK"
"20","27",3,"EAST GARFIELD PARK"
"21","28",9,"NEAR WEST SIDE"
"22","29",4,"NORTH LAWNDALE"
"23","3",15,"UPTOWN"
"24","30",22,"SOUTH LAWNDALE"
"25","31",11,"LOWER WEST SIDE"
"26","32",4,"LOOP"
"27","33",2,"NEAR SOUTH SIDE"
"28","34",4,"ARMOUR SQUARE"
"29","35",2,"DOUGLAS"
"30","37",1,"FULLER PARK"
"31","38",4,"GRAND BOULEVARD"
"32","39",4,"KENWOOD"
"33","4",4,"LINCOLN SQUARE"
"34","40",3,"WASHINGTON PARK"
"35","41",3,"HYDE PARK"
"36","42",5,"WOODLAWN"
"37","43",7,"SOUTH SHORE"
"38","44",6,"CHATHAM"
"39","45",3,"AVALON PARK"
"40","46",5,"SOUTH CHICAGO"
"41","48",2,"CALUMET HEIGHTS"
"42","49",7,"ROSELAND"
"43","5",6,"NORTH CENTER"
"44","50",2,"PULLMAN"
"45","51",4,"SOUTH DEERING"
"46","52",3,"EAST SIDE"
"47","53",5,"WEST PULLMAN"
"48","54",2,"RIVERDALE"
"49","55",3,"HEGEWISCH"
"50","56",4,"GARFIELD RIDGE"
"51","57",4,"ARCHER HEIGHTS"
"52","58",10,"BRIGHTON PARK"
"53","59",4,"MCKINLEY PARK"
"54","6",9,"LAKE VIEW"
"55","60",2,"BRIDGEPORT"
"56","61",17,"NEW CITY"
"57","62",3,"WEST ELSDON"
"58","63",5,"GAGE PARK"
"59","64",1,"CLEARING"
"60","65",4,"WEST LAWN"
"61","66",12,"CHICAGO LAWN"
"62","67",11,"WEST ENGLEWOOD"
"63","68",8,"ENGLEWOOD"
"64","69",7,"GREATER GRAND CROSSING"
"65","7",11,"LINCOLN PARK"
"66","70",3,"ASHBURN"
"67","71",11,"AUBURN GRESHAM"
"68","72",1,"BEVERLY"
"69","73",2,"WASHINGTON HEIGHTS"
"70","74",3,"MOUNT GREENWOOD"
"71","75",7,"MORGAN PARK"
"72","76",1,"OHARE"
"73","77",11,"EDGEWATER"
"74","8",17,"NEAR NORTH SIDE"
"75","9",1,"EDISON PARK"
